title,links,status,lastChecked,type,accountNeeded,date
Evidence and characterization of a glide-vowel distinction in American English,http://Dicitonary.com,dead,2020-10-03,irrelevant/miscellaneous,NA,2018-02-07
French Speech Segmentation in Liaison Contexts by L1 and L2 Listeners,http://www.af-chicago.org,alive,2020-10-03,irrelevant/miscellaneous,NA,2016-11-25
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,http://www.acsu.buffalo.edu/~cdicanio/scripts/Get_Spectral_Tilt_2.praat,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
Gendered associations of English morphology,NA,NA,2020-10-03,NA,NA,2018-09-05
Iambic-Trochaic Law Effects among Native Speakers of Spanish and English,NA,NA,2020-10-03,NA,NA,2016-10-07
Iconicity correlated with vowel harmony in Korean ideophones,http://semanticweb.kaist.ac.kr/research/kcp/,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-01-23
Iconicity correlated with vowel harmony in Korean ideophones,http://stdweb2.korean.go.kr/main.jsp,dead,2020-10-03,NA,NA,2018-01-23
Iconicity correlated with vowel harmony in Korean ideophones,http://www.hangeul.pe.kr/symbol/words.htm,dead,2020-10-03,NA,NA,2018-01-23
Iconicity correlated with vowel harmony in Korean ideophones,http://www.korean.go.kr/front/reportData/reportDataView.do?report_seq=56&mn_id=45,dead,2020-10-03,NA,NA,2018-01-23
Implicit effects of regional cues on the interpretation of intonation by Corsican French listeners,NA,NA,2020-10-03,NA,NA,2019-12-04
Individual and dialect differences in perceiving multiple cues: A tonal register contrast in two Chinese Wu dialects,https://osf.io/u7er5/,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-08-21
Individual differences and patterns of convergence in prosody perception,NA,NA,2020-10-03,NA,NA,2017-09-08
Inductive learning of locality relations in segmental phonology,NA,NA,2020-10-03,NA,NA,2019-07-31
Integration of contextual-pragmatic and phonetic information in speech perception: An eye-tracking study,NA,NA,2020-10-03,NA,NA,2019-11-19
Inter-consonantal intervals in Tripolitanian Libyan Arabic: Accounting for variable epenthesis,NA,NA,2020-10-03,NA,NA,2019-03-05
Intonational variation and incrementality in listener judgments of ethnicity,http://amazon.com,alive,2020-10-03,irrelevant/miscellaneous,NA,2020-04-01
"Ki(ng) in the north: Effects of duration, boundary, and pause on post-nasal [ɡ]-presence",NA,NA,2020-10-03,NA,NA,2019-02-07
Language-independent talker-specificity in bilingual speech intelligibility: Individual traits persist across first-language and second-language speech,https://oscaar.ci.northwestern.edu/#,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-10-09
Learning novel phonotactics from exposure to continuous speech,NA,NA,2020-10-03,NA,NA,2017-05-18
Lexical representation and processing of word-initial morphological alternations: Scottish Gaelic mutation,NA,NA,2020-10-03,NA,NA,2017-04-12
Limitations of difference-in-difference for measuring convergence,NA,NA,2020-10-03,NA,NA,2019-09-11
Modelling the Interplay of Multiple Cues in Prosodic Focus Marking,NA,NA,2020-10-03,NA,NA,2017-03-13
Morpho-phonological regularities influence the dynamics of real-time word recognition: Evidence from artificial language learning,NA,NA,2020-10-03,NA,NA,2018-01-23
Nasal place assimilation trades off inferrability of both target and trigger words,NA,NA,2020-10-03,NA,NA,2018-09-20
New Methods for Prosodic Transcription: Capturing Variability as a Source of Information,http://dx.doi.org/10.5334/labphon.29.wav1,alive,2020-10-03,soundfile,NA,2016-06-30
New Methods for Prosodic Transcription: Capturing Variability as a Source of Information,http://dx.doi.org/10.5334/labphon.29.wav2,alive,2020-10-03,soundfile,NA,2016-06-30
New Methods for Prosodic Transcription: Capturing Variability as a Source of Information,http://dx.doi.org/10.5334/labphon.29.smo,alive,2020-10-03,soundfile,NA,2016-06-30
North American /l/ both darkens and lightens depending on morphological constituency and segmental context,NA,NA,2020-10-03,NA,NA,2018-08-15
Not crazy after all these years? Perceptual grounding for long-distance vowel harmony,NA,NA,2020-10-03,NA,NA,2017-08-11
On the nature of the perception-production link: Individual variability in English sibilant-vowel coarticulation,https://bit.ly/2CGcJRK,alive,2020-10-03,data/scripts/tutorials/software,TRUE,2019-02-06
